Date	Time	10	15	20	25	30	35	40
19/10/2021	02:00:00	21.246	21.199	21.294	20.698	21.103	19.341	17.915
19/10/2021	03:00:00	21.199	21.199	21.246	20.555	21.151	18.794	17.463
19/10/2021	04:00:00	21.103	21.151	21.246	19.865	21.008	18.438	16.058
19/10/2021	05:00:00	21.103	21.103	21.223	19.436	21.032	18.271	16.32
19/10/2021	06:00:00	21.103	21.103	21.246	20.698	21.103	18.438	17.677
19/10/2021	07:00:00	21.079	21.103	21.246	20.365	21.223	19.08	17.748
19/10/2021	08:00:00	21.175	21.151	21.175	20.865	21.246	19.032	17.558
19/10/2021	09:00:00	21.294	21.246	21.175	21.103	21.246	19.603	18.438
19/10/2021	10:00:00	21.366	21.27	21.223	21.246	21.27	21.056	19.722
19/10/2021	11:00:00	21.366	21.318	21.246	21.246	21.246	21.246	20.246
19/10/2021	12:00:00	21.39	21.342	21.294	21.223	21.27	20.865	20.103
19/10/2021	13:00:00	21.39	21.342	21.318	21.127	21.223	20.365	18.961
19/10/2021	14:00:00	21.366	21.318	21.318	21.151	21.199	20.198	18.889
19/10/2021	15:00:00	21.366	21.318	21.294	20.865	21.199	20.579	18.747
19/10/2021	16:00:00	21.318	21.294	21.294	20.936	21.199	19.912	18.414
19/10/2021	17:00:00	21.318	21.27	21.27	20.627	21.175	19.341	17.938
19/10/2021	18:00:00	21.318	21.27	21.27	20.96	21.175	19.389	18.343
19/10/2021	19:00:00	21.318	21.246	21.27	21.127	21.175	19.77	19.056
19/10/2021	20:00:00	21.294	21.246	21.27	21.175	21.199	20.222	20.031
19/10/2021	21:00:00	21.294	21.246	21.27	20.984	21.199	20.793	20.627
19/10/2021	22:00:00	21.294	21.27	21.27	21.151	21.175	21.127	20.96
19/10/2021	23:00:00	21.294	21.246	21.27	21.246	21.246	21.223	21.056
20/10/2021	00:00:00	21.246	21.246	21.27	21.27	21.246	21.151	21.032
20/10/2021	01:00:00	21.27	21.246	21.27	21.056	21.223	20.936	20.627
20/10/2021	02:00:00	21.246	21.199	21.27	21.056	21.127	20.936	20.555
20/10/2021	03:00:00	21.223	21.223	21.246	21.056	21.079	20.889	20.698
20/10/2021	04:00:00	21.223	21.199	21.246	21.079	21.079	21.008	20.865
20/10/2021	05:00:00	21.175	21.199	21.223	21.079	21.079	21.032	20.889
20/10/2021	06:00:00	21.127	21.175	21.175	21.056	21.056	21.056	20.913
20/10/2021	07:00:00	21.151	21.175	21.151	21.103	21.127	21.032	20.936
20/10/2021	08:00:00	21.151	21.199	21.175	21.151	21.151	21.103	20.865
20/10/2021	09:00:00	21.223	21.246	21.199	21.151	21.151	21.151	20.984
20/10/2021	10:00:00	21.27	21.27	21.223	21.151	21.175	21.175	20.984
20/10/2021	11:00:00	21.318	21.27	21.246	21.127	21.199	21.151	21.008
20/10/2021	12:00:00	21.342	21.27	21.27	21.151	21.175	21.175	21.032
20/10/2021	13:00:00	21.318	21.246	21.246	21.175	21.151	21.175	21.056
20/10/2021	14:00:00	21.27	21.199	21.199	21.175	21.151	21.199	20.46
20/10/2021	15:00:00	21.223	21.151	21.199	21.175	21.151	20.746	19.222
20/10/2021	16:00:00	21.223	21.151	21.199	21.175	21.151	21.079	19.603
20/10/2021	17:00:00	21.246	21.175	21.199	21.199	21.175	21.151	20.722
20/10/2021	18:00:00	21.246	21.175	21.199	21.199	21.199	21.199	21.008
20/10/2021	19:00:00	21.246	21.175	21.199	21.199	21.175	20.817	20.246
20/10/2021	20:00:00	21.223	21.175	21.199	21.008	21.199	20.722	20.603
20/10/2021	21:00:00	21.199	21.151	21.199	20.936	21.008	20.889	20.722
20/10/2021	22:00:00	21.175	21.151	21.199	21.056	21.056	21.032	20.913
20/10/2021	23:00:00	21.151	21.151	21.175	21.151	21.151	21.151	20.984
