Date	Time	5	22	35	50
18/10/2018	09:00:00			18.806	
18/10/2018	10:00:00			18.806	
18/10/2018	11:00:00			18.521	
18/10/2018	12:00:00			22.429	
18/10/2018	13:00:00			21.76	
18/10/2018	14:00:00			22.333	
18/10/2018	15:00:00			19.092	
18/10/2018	16:00:00			22.333	
18/10/2018	17:00:00			17.76	
18/10/2018	18:00:00			17.379	
18/10/2018	19:00:00			19.567	
18/10/2018	20:00:00			19.282	
18/10/2018	21:00:00			18.426	
18/10/2018	22:00:00			19.472	
18/10/2018	23:00:00			20.138	
19/10/2018	00:00:00			18.426	
19/10/2018	01:00:00			18.711	
19/10/2018	02:00:00			22.812	
19/10/2018	03:00:00			20.043	
19/10/2018	04:00:00			20.043	
08/07/2021	11:00:00	24.49			
08/07/2021	12:00:00	24.06			
08/07/2021	13:00:00	22.68			
08/07/2021	14:00:00	17.49			
08/07/2021	15:00:00	21.72			
08/07/2021	16:00:00	18.36			
08/07/2021	17:00:00	18.4			
08/07/2021	18:00:00	19.7			
08/07/2021	19:00:00	22.59			
08/07/2021	20:00:00	24.27			
08/07/2021	21:00:00	23.72			
08/07/2021	22:00:00	25.18			
08/07/2021	23:00:00	25.61			
09/07/2021	00:00:00	26.35			
09/07/2021	01:00:00	26.74			
09/07/2021	02:00:00	26.21			
09/07/2021	03:00:00	24.19			
09/07/2021	04:00:00	23.45			
09/07/2021	05:00:00	20.04			
09/07/2021	06:00:00	19.17			
09/07/2021	07:00:00	22.8			
09/07/2021	08:00:00	20.55			
09/07/2021	09:00:00	24.27			
09/07/2021	10:00:00	25.36			
09/07/2021	11:00:00	26.09			
09/07/2021	12:00:00	24.06			
09/07/2021	13:00:00	23.06			
09/07/2021	14:00:00	22.68			
09/07/2021	15:00:00	18.91			
09/07/2021	16:00:00	20.0			
09/07/2021	17:00:00	19.09			
09/07/2021	18:00:00	17.1			
09/07/2021	19:00:00	18.74			
09/07/2021	20:00:00	19.91			
09/07/2021	21:00:00	20.55			
09/07/2021	22:00:00	22.07			
09/07/2021	23:00:00	22.89			
10/07/2021	00:00:00	25.53			
10/07/2021	01:00:00	25.06			
10/07/2021	02:00:00	23.02			
10/07/2021	03:00:00	26.0			
10/07/2021	04:00:00	24.79			
10/07/2021	05:00:00	21.34			
10/07/2021	06:00:00	20.12			
10/07/2021	07:00:00	21.12			
10/07/2021	08:00:00	24.75			
10/07/2021	09:00:00	26.35			
10/07/2021	10:00:00	26.95			
10/07/2021	11:00:00	26.4			
10/07/2021	12:00:00	23.67			
10/07/2021	13:00:00	24.66			
10/07/2021	14:00:00	22.76			
10/07/2021	15:00:00	22.19			
10/07/2021	16:00:00	18.74			
10/07/2021	17:00:00	18.09			
10/07/2021	18:00:00	20.73			
10/07/2021	19:00:00	19.21			
10/07/2021	20:00:00	21.51			
10/07/2021	21:00:00	22.93			
10/07/2021	22:00:00	20.3			
10/07/2021	23:00:00	23.36			
11/07/2021	00:00:00	23.36			
11/07/2021	01:00:00	25.27			
11/07/2021	02:00:00	20.08			
11/07/2021	03:00:00	24.36			
11/07/2021	04:00:00	25.1			
11/07/2021	05:00:00	21.68			
11/07/2021	06:00:00	18.87			
11/07/2021	07:00:00	20.55			
11/07/2021	08:00:00	23.67			
11/07/2021	09:00:00	22.24			17.46
11/07/2021	10:00:00	26.82			17.61
11/07/2021	11:00:00	27.3			16.97
11/07/2021	12:00:00	23.8			16.69
11/07/2021	13:00:00	25.1			16.55
11/07/2021	14:00:00	24.96			16.17
11/07/2021	15:00:00	21.34			17.25
11/07/2021	16:00:00	18.57			15.68
11/07/2021	17:00:00	18.4			15.9
11/07/2021	18:00:00	19.09			16.9
11/07/2021	19:00:00	18.87			16.79
11/07/2021	20:00:00	22.76			16.19
11/07/2021	21:00:00	24.02			16.33
11/07/2021	22:00:00	23.76			19.83
11/07/2021	23:00:00	25.23			18.55
12/07/2021	00:00:00	26.91			17.42
12/07/2021	01:00:00	26.95			16.85
12/07/2021	02:00:00	27.08			16.48
12/07/2021	03:00:00	26.57			16.47
12/07/2021	04:00:00	26.82			15.93
12/07/2021	05:00:00	22.11			16.96
12/07/2021	06:00:00	19.91			15.91
12/07/2021	07:00:00	20.9			16.31
12/07/2021	08:00:00	21.29			16.42
12/07/2021	09:00:00	23.67			16.43
12/07/2021	10:00:00	26.44			17.58
12/07/2021	11:00:00	27.3			16.95
12/07/2021	12:00:00	27.34			17.24
12/07/2021	13:00:00	24.62			16.66
12/07/2021	14:00:00	26.44			16.99
12/07/2021	15:00:00	27.04			16.5
12/07/2021	16:00:00	20.04			16.83
12/07/2021	17:00:00	23.63			15.57
12/07/2021	18:00:00	17.36			15.47
12/07/2021	19:00:00	19.26			17.58
12/07/2021	20:00:00	19.82			16.88
12/07/2021	21:00:00	23.49			16.1
12/07/2021	22:00:00	24.1			16.55
12/07/2021	23:00:00	25.53			17.43
13/07/2021	00:00:00	26.17			18.13
13/07/2021	01:00:00	26.48			17.69
13/07/2021	02:00:00	26.65			16.93
13/07/2021	03:00:00	26.09			17.24
13/07/2021	04:00:00	26.26			17.22
13/07/2021	05:00:00	26.4			16.56
13/07/2021	06:00:00	21.77			17.26
13/07/2021	07:00:00	22.42			16.21
13/07/2021	08:00:00	19.26			16.15
13/07/2021	09:00:00	19.65			16.27
13/07/2021	10:00:00	20.64			16.71
13/07/2021	11:00:00	24.23			16.08
13/07/2021	12:00:00	27.08			16.12
13/07/2021	13:00:00	27.21			16.27
13/07/2021	14:00:00	27.34			15.78
13/07/2021	15:00:00	26.74			15.77
13/07/2021	16:00:00	26.74			20.45
13/07/2021	17:00:00	20.25			16.31
13/07/2021	18:00:00	20.38			16.04
13/07/2021	19:00:00	21.51			15.8
13/07/2021	20:00:00	19.34			17.28
13/07/2021	21:00:00	19.65			16.51
13/07/2021	22:00:00	22.15			16.25
13/07/2021	23:00:00	22.98			17.21
14/07/2021	00:00:00	24.79			18.07
14/07/2021	01:00:00	24.62			17.98
14/07/2021	02:00:00	25.91			17.44
14/07/2021	03:00:00	25.18			16.85
14/07/2021	04:00:00	25.53			16.3
14/07/2021	05:00:00	25.27			15.78
14/07/2021	06:00:00	21.21			17.0
14/07/2021	07:00:00	18.27			16.05
14/07/2021	08:00:00	21.16			15.68
14/07/2021	09:00:00	21.46			16.21
14/07/2021	10:00:00	21.85			16.18
14/07/2021	11:00:00	23.11			16.64
14/07/2021	12:00:00	24.62			16.03
14/07/2021	13:00:00	24.96			15.52
14/07/2021	14:00:00	25.61			16.47
14/07/2021	15:00:00	26.13			16.77
14/07/2021	16:00:00	26.13			15.94
14/07/2021	17:00:00	25.23			15.97
14/07/2021	18:00:00	26.35			16.31
14/07/2021	19:00:00	17.19			16.63
14/07/2021	20:00:00	21.72			15.59
14/07/2021	21:00:00	18.0			16.44
14/07/2021	22:00:00	23.11			15.93
14/07/2021	23:00:00	24.19			16.01
15/07/2021	00:00:00	25.14			16.03
15/07/2021	01:00:00	24.7			16.81
15/07/2021	02:00:00	25.44			17.41
15/07/2021	03:00:00	25.78			17.22
15/07/2021	04:00:00	24.27			16.85
15/07/2021	05:00:00	24.75			17.15
15/07/2021	06:00:00	24.87			16.23
15/07/2021	07:00:00	22.29			16.62
15/07/2021	08:00:00	22.07			15.94
15/07/2021	09:00:00	22.63			16.15
15/07/2021	10:00:00	22.07			16.69
15/07/2021	11:00:00	20.95			16.39
15/07/2021	12:00:00	22.42			15.89
15/07/2021	13:00:00	25.14			15.89
15/07/2021	14:00:00	26.13			16.22
15/07/2021	15:00:00	26.26			16.77
15/07/2021	16:00:00	26.17			17.0
15/07/2021	17:00:00	26.44			15.84
15/07/2021	18:00:00	26.48			15.78
15/07/2021	19:00:00	21.21			15.95
15/07/2021	20:00:00	21.21			15.69
15/07/2021	21:00:00	22.76			15.8
15/07/2021	22:00:00	21.89			16.13
15/07/2021	23:00:00	24.32			16.23
16/07/2021	00:00:00	24.57			15.94
16/07/2021	01:00:00	25.66			15.89
16/07/2021	02:00:00	24.44			16.36
16/07/2021	03:00:00	25.53			16.47
16/07/2021	04:00:00	25.23			16.67
16/07/2021	05:00:00	24.7			16.92
16/07/2021	06:00:00	25.14			16.84
16/07/2021	07:00:00	25.36			16.35
16/07/2021	08:00:00	23.72			16.37
16/07/2021	09:00:00	21.34			16.0
16/07/2021	10:00:00	22.46			16.36
16/07/2021	11:00:00	23.23			16.21
16/07/2021	12:00:00	26.21			16.35
16/07/2021	13:00:00	26.4			16.63
16/07/2021	14:00:00	26.65			16.7
16/07/2021	15:00:00	26.44			16.96
16/07/2021	16:00:00	26.35			16.88
16/07/2021	17:00:00	26.48			16.88
16/07/2021	18:00:00	26.44			16.47
16/07/2021	19:00:00	26.57			17.33
16/07/2021	20:00:00	18.83			16.1
16/07/2021	21:00:00	20.38			15.68
16/07/2021	22:00:00	23.97			15.84
16/07/2021	23:00:00	22.38			16.04
17/07/2021	00:00:00	25.31			15.8
17/07/2021	01:00:00	25.78			16.22
17/07/2021	02:00:00	26.0			16.51
17/07/2021	03:00:00	25.96			16.49
17/07/2021	04:00:00	25.96			16.72
17/07/2021	05:00:00	25.87			16.71
17/07/2021	06:00:00	26.0			16.66
17/07/2021	07:00:00	26.13			16.56
17/07/2021	08:00:00	26.04			19.69
17/07/2021	09:00:00	22.19			16.67
17/07/2021	10:00:00	20.25			16.44
17/07/2021	11:00:00	22.98			16.15
17/07/2021	12:00:00	23.45			16.2
17/07/2021	13:00:00	23.84			16.67
17/07/2021	14:00:00	25.66			16.55
17/07/2021	15:00:00	26.17			16.82
17/07/2021	16:00:00	26.4			17.21
17/07/2021	17:00:00	26.26			16.71
17/07/2021	18:00:00	26.09			16.28
17/07/2021	19:00:00	26.0			16.17
17/07/2021	20:00:00	26.04			16.2
17/07/2021	21:00:00	26.13			16.46
17/07/2021	22:00:00	25.78			16.49
17/07/2021	23:00:00	25.87			16.24
18/07/2021	00:00:00	25.87			16.2
18/07/2021	01:00:00	25.87			16.01
18/07/2021	02:00:00	25.83			17.36
18/07/2021	03:00:00	25.83			15.94
18/07/2021	04:00:00	25.74			15.97
18/07/2021	05:00:00	25.7			16.8
18/07/2021	06:00:00	25.36			16.03
18/07/2021	07:00:00	25.31			15.84
18/07/2021	08:00:00	25.53			15.84
18/07/2021	09:00:00	25.66			17.02
18/07/2021	10:00:00	20.3			16.03
18/07/2021	11:00:00	25.27			16.53
18/07/2021	12:00:00	25.74			18.96
18/07/2021	13:00:00	25.74			16.08
18/07/2021	14:00:00	25.78			16.18
18/07/2021	15:00:00	25.96			15.5
18/07/2021	16:00:00	26.04			15.3
18/07/2021	17:00:00	25.96			16.94
18/07/2021	18:00:00	25.91			16.2
18/07/2021	19:00:00	25.87			16.09
18/07/2021	20:00:00	25.91			16.2
18/07/2021	21:00:00	25.87			16.32
18/07/2021	22:00:00	25.96			16.13
18/07/2021	23:00:00	26.21			16.17
19/07/2021	00:00:00	26.17			16.27
19/07/2021	01:00:00	23.8			16.95
19/07/2021	02:00:00	25.06			17.15
19/07/2021	03:00:00	25.91			17.38
19/07/2021	04:00:00	25.96			17.98
19/07/2021	05:00:00	25.96			17.47
19/07/2021	06:00:00	25.96			16.95
19/07/2021	07:00:00	26.0			16.55
19/07/2021	08:00:00	26.0			16.49
19/07/2021	09:00:00	26.13			16.39
19/07/2021	10:00:00	25.83			16.15
19/07/2021	11:00:00	26.04			17.72
19/07/2021	12:00:00	25.61			17.26
19/07/2021	13:00:00	26.0			16.15
19/07/2021	14:00:00	26.4			17.87
19/07/2021	15:00:00	26.52			16.36
19/07/2021	16:00:00	26.3			15.95
19/07/2021	17:00:00	26.26			16.35
19/07/2021	18:00:00	26.21			16.63
19/07/2021	19:00:00	26.35			16.76
19/07/2021	20:00:00	26.3			16.94
19/07/2021	21:00:00	26.26			16.42
19/07/2021	22:00:00	26.04			16.12
19/07/2021	23:00:00	26.13			16.55
20/07/2021	00:00:00	26.04			16.43
20/07/2021	01:00:00	25.31			16.09
20/07/2021	02:00:00	25.4			16.3
20/07/2021	03:00:00	25.57			16.11
20/07/2021	04:00:00	25.7			17.03
20/07/2021	05:00:00	25.78			16.17
20/07/2021	06:00:00	25.87			16.04
20/07/2021	07:00:00	26.0			16.04
20/07/2021	08:00:00	26.0			16.08
20/07/2021	09:00:00	26.0			15.73
20/07/2021	10:00:00	26.13			16.36
20/07/2021	11:00:00	26.48			15.48
20/07/2021	12:00:00	25.83			16.86
20/07/2021	13:00:00	22.8			16.34
20/07/2021	14:00:00	24.53			18.03
20/07/2021	15:00:00	25.14			16.47
20/07/2021	16:00:00	25.14			16.2
20/07/2021	17:00:00	26.4			16.76
20/07/2021	18:00:00	26.3			17.29
20/07/2021	19:00:00	26.35			17.06
20/07/2021	20:00:00	26.3			16.71
20/07/2021	21:00:00	26.21			17.61
20/07/2021	22:00:00	26.17			16.7
20/07/2021	23:00:00	25.91			16.49
21/07/2021	00:00:00	25.87			16.39
21/07/2021	01:00:00	25.66			16.12
21/07/2021	02:00:00	25.14			15.72
21/07/2021	03:00:00	25.36			15.92
21/07/2021	04:00:00	25.48			15.66
21/07/2021	05:00:00	25.7			16.17
21/07/2021	06:00:00	26.0			16.28
21/07/2021	07:00:00	26.21			16.81
21/07/2021	08:00:00	26.3			16.88
21/07/2021	09:00:00	26.4			16.39
21/07/2021	10:00:00	26.44			16.57
21/07/2021	11:00:00	26.52			15.65
21/07/2021	12:00:00	26.48			16.18
21/07/2021	13:00:00	24.36			16.72
21/07/2021	14:00:00	22.59			16.95
21/07/2021	15:00:00	25.53			17.65
21/07/2021	16:00:00	25.36			16.75
21/07/2021	17:00:00	26.35			16.0
21/07/2021	18:00:00	26.3			16.71
21/07/2021	19:00:00	26.26			16.78
21/07/2021	20:00:00	26.48			17.05
21/07/2021	21:00:00	26.48			17.56
21/07/2021	22:00:00	26.48			17.63
21/07/2021	23:00:00	26.35			16.47
22/07/2021	00:00:00	26.13			15.89
22/07/2021	01:00:00	26.17			16.09
22/07/2021	02:00:00	23.93			15.76
22/07/2021	03:00:00	26.09			16.2
22/07/2021	04:00:00	26.26			16.03
22/07/2021	05:00:00	26.35			15.98
22/07/2021	06:00:00	26.4			16.91
22/07/2021	07:00:00	26.65			16.83
22/07/2021	08:00:00	26.78			16.79
22/07/2021	09:00:00	26.82			16.18
22/07/2021	10:00:00	26.91			16.47
22/07/2021	11:00:00	26.95			16.21
22/07/2021	12:00:00	26.82			16.12
22/07/2021	13:00:00	25.91			17.25
22/07/2021	14:00:00	25.908			17.15
22/07/2021	15:00:00	25.906			15.6
22/07/2021	16:00:00	25.904			17.68
22/07/2021	17:00:00	25.903			16.78
22/07/2021	18:00:00	25.901			15.84
22/07/2021	19:00:00	25.899			16.05
22/07/2021	20:00:00	25.898			18.21
22/07/2021	21:00:00	25.896			18.28
22/07/2021	22:00:00	25.894			17.99
22/07/2021	23:00:00	25.893			17.55
23/07/2021	00:00:00	25.891			17.12
23/07/2021	01:00:00	25.889			16.44
23/07/2021	02:00:00	25.887			16.19
23/07/2021	03:00:00	25.886			17.29
23/07/2021	04:00:00	25.884			18.09
