"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20364086, SEN S/N: 20364086, LBL: Aire_25m_Febrero_2021)"	"Acoplador separado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Acoplador adjunto (LGR S/N: 20364086, SEN S/N: 20364086)"	"Host conectado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Parado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Final de archivo (LGR S/N: 20364086, SEN S/N: 20364086)"
558	27/02/21	19:00:00	14.266					
559	27/02/21	20:00:00	14.218					
560	27/02/21	21:00:00	14.194					
561	27/02/21	22:00:00	14.218					
562	27/02/21	23:00:00	14.385					
563	28/02/21	00:00:00	14.505					
564	28/02/21	01:00:00	14.194					
565	28/02/21	02:00:00	14.194					
566	28/02/21	03:00:00	14.170					
567	28/02/21	04:00:00	14.194					
568	28/02/21	05:00:00	14.553					
569	28/02/21	06:00:00	14.337					
570	28/02/21	07:00:00	14.385					
571	28/02/21	08:00:00	14.505					
572	28/02/21	09:00:00	14.266					
573	28/02/21	10:00:00	14.194					
574	28/02/21	11:00:00	14.218					
575	28/02/21	12:00:00	14.194					
576	28/02/21	13:00:00	14.242					
577	28/02/21	14:00:00	14.290					
578	28/02/21	15:00:00	14.409					
579	28/02/21	16:00:00	14.840					
580	28/02/21	17:00:00	14.864					
581	28/02/21	18:00:00	14.792					
582	28/02/21	19:00:00	14.768					
583	28/02/21	20:00:00	14.649					
584	28/02/21	21:00:00	14.361					
585	28/02/21	22:00:00	14.266					
586	28/02/21	23:00:00	14.218					
587	01/03/21	00:00:00	14.194					
588	01/03/21	01:00:00	14.170					
589	01/03/21	02:00:00	14.170					
590	01/03/21	03:00:00	14.529					
591	01/03/21	04:00:00	14.625					
592	01/03/21	05:00:00	14.649					
593	01/03/21	06:00:00	14.649					
594	01/03/21	07:00:00	14.553					
595	01/03/21	08:00:00	14.553					
596	01/03/21	09:00:00	14.553					
597	01/03/21	10:00:00	14.385					
598	01/03/21	11:00:00	14.361					
599	01/03/21	12:00:00	14.337					
600	01/03/21	13:00:00	14.290					
601	01/03/21	14:00:00	14.290					
602	01/03/21	15:00:00	14.170					
603	01/03/21	16:00:00	14.146					
604	01/03/21	17:00:00	14.361					
605	01/03/21	18:00:00	14.577					
606	01/03/21	19:00:00	14.625					
607	01/03/21	20:00:00	14.673					
608	01/03/21	21:00:00	14.673					
609	01/03/21	22:00:00	14.673					
610	01/03/21	23:00:00	14.673					
611	02/03/21	00:00:00	14.409					
612	02/03/21	01:00:00	14.385					
613	02/03/21	02:00:00	14.457					
614	02/03/21	03:00:00	14.625					
615	02/03/21	04:00:00	14.529					
616	02/03/21	05:00:00	14.601					
617	02/03/21	06:00:00	14.481					
618	02/03/21	07:00:00	14.625					
619	02/03/21	08:00:00	14.385					
620	02/03/21	09:00:00	14.361					
621	02/03/21	10:00:00	14.625					
622	02/03/21	11:00:00	14.625					
623	02/03/21	12:00:00	14.625					
624	02/03/21	13:00:00	14.649					
625	02/03/21	14:00:00	14.625					
626	02/03/21	15:00:00	14.625					
627	02/03/21	16:00:00	14.649					
628	02/03/21	17:00:00	14.649					
629	02/03/21	18:00:00	14.673					
630	02/03/21	19:00:00	14.673					
631	02/03/21	20:00:00	14.673					
632	02/03/21	21:00:00	14.673					
633	02/03/21	22:00:00	14.481					
634	02/03/21	23:00:00	14.337					
635	03/03/21	00:00:00	14.314					
636	03/03/21	01:00:00	14.433					
637	03/03/21	02:00:00	14.337					
638	03/03/21	03:00:00	14.361					
639	03/03/21	04:00:00	14.290					
640	03/03/21	05:00:00	14.385					
641	03/03/21	06:00:00	14.529					
642	03/03/21	07:00:00	14.625					
643	03/03/21	08:00:00	14.649					
644	03/03/21	09:00:00	14.673					
645	03/03/21	10:00:00	14.697					
646	03/03/21	11:00:00	14.673					
647	03/03/21	12:00:00	14.673					
648	03/03/21	13:00:00	14.649					
649	03/03/21	14:00:00	14.529					
650	03/03/21	15:00:00	14.409					
651	03/03/21	16:00:00	14.361					
652	03/03/21	17:00:00	14.337					
653	03/03/21	18:00:00	14.242					
654	03/03/21	19:00:00	14.242					
655	03/03/21	20:00:00	14.314					
656	03/03/21	21:00:00	14.314					
