"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10718615, SEN S/N: 10718615, LBL: Porros_20m_05022021)"	"Acoplador separado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Acoplador adjunto (LGR S/N: 10718615, SEN S/N: 10718615)"	"Host conectado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Parado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Final de archivo (LGR S/N: 10718615, SEN S/N: 10718615)"
527	27/02/21	10:00:00	14.290					
528	27/02/21	11:00:00	14.290					
529	27/02/21	12:00:00	14.290					
530	27/02/21	13:00:00	14.290					
531	27/02/21	14:00:00	14.314					
532	27/02/21	15:00:00	14.290					
533	27/02/21	16:00:00	14.290					
534	27/02/21	17:00:00	14.314					
535	27/02/21	18:00:00	14.314					
536	27/02/21	19:00:00	14.314					
537	27/02/21	20:00:00	14.361					
538	27/02/21	21:00:00	14.361					
539	27/02/21	22:00:00	14.361					
540	27/02/21	23:00:00	14.361					
541	28/02/21	00:00:00	14.361					
542	28/02/21	01:00:00	14.361					
543	28/02/21	02:00:00	14.337					
544	28/02/21	03:00:00	14.337					
545	28/02/21	04:00:00	14.290					
546	28/02/21	05:00:00	14.290					
547	28/02/21	06:00:00	14.290					
548	28/02/21	07:00:00	14.290					
549	28/02/21	08:00:00	14.290					
550	28/02/21	09:00:00	14.290					
551	28/02/21	10:00:00	14.290					
552	28/02/21	11:00:00	14.314					
553	28/02/21	12:00:00	14.337					
554	28/02/21	13:00:00	14.337					
555	28/02/21	14:00:00	14.361					
556	28/02/21	15:00:00	14.361					
557	28/02/21	16:00:00	14.361					
558	28/02/21	17:00:00	14.266					
559	28/02/21	18:00:00	14.290					
560	28/02/21	19:00:00	14.314					
561	28/02/21	20:00:00	14.290					
562	28/02/21	21:00:00	14.314					
563	28/02/21	22:00:00	14.314					
564	28/02/21	23:00:00	14.314					
565	01/03/21	00:00:00	14.337					
566	01/03/21	01:00:00	14.361					
567	01/03/21	02:00:00	14.337					
568	01/03/21	03:00:00	14.337					
569	01/03/21	04:00:00	14.337					
570	01/03/21	05:00:00	14.314					
571	01/03/21	06:00:00	14.314					
572	01/03/21	07:00:00	14.290					
573	01/03/21	08:00:00	14.050					
