"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20987460, SEN S/N: 20987460, LBL: Cannelle 15m)"	"Acoplador separado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Acoplador adjunto (LGR S/N: 20987460, SEN S/N: 20987460)"	"Host conectado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Parado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Final de archivo (LGR S/N: 20987460, SEN S/N: 20987460)"
1597	10/06/23	22:00:00	18.580					
1598	10/06/23	23:00:00	18.628					
1599	11/06/23	00:00:00	18.509					
1600	11/06/23	01:00:00	18.485					
1601	11/06/23	02:00:00	18.699					
1602	11/06/23	03:00:00	18.652					
1603	11/06/23	04:00:00	18.557					
1604	11/06/23	05:00:00	19.555					
1605	11/06/23	06:00:00	18.866					
1606	11/06/23	07:00:00	18.961					
1607	11/06/23	08:00:00	18.985					
1608	11/06/23	09:00:00	19.651					
1609	11/06/23	10:00:00	19.151					
1610	11/06/23	11:00:00	19.365					
1611	11/06/23	12:00:00	19.579					
1612	11/06/23	13:00:00	19.579					
1613	11/06/23	14:00:00	19.627					
1614	11/06/23	15:00:00	18.866					
1615	11/06/23	16:00:00	19.389					
1616	11/06/23	17:00:00	19.722					
1617	11/06/23	18:00:00	19.484					
1618	11/06/23	19:00:00	19.484					
1619	11/06/23	20:00:00	19.508					
1620	11/06/23	21:00:00	18.961					
1621	11/06/23	22:00:00	19.341					
1622	11/06/23	23:00:00	19.508					
1623	12/06/23	00:00:00	19.413					
1624	12/06/23	01:00:00	19.674					
1625	12/06/23	02:00:00	19.532					
1626	12/06/23	03:00:00	19.627					
1627	12/06/23	04:00:00	19.008					
1628	12/06/23	05:00:00	19.080					
1629	12/06/23	06:00:00	19.508					
1630	12/06/23	07:00:00	19.365					
1631	12/06/23	08:00:00	19.389					
1632	12/06/23	09:00:00	19.532					
1633	12/06/23	10:00:00	19.318					
1634	12/06/23	11:00:00	19.484					
1635	12/06/23	12:00:00	19.508					
1636	12/06/23	13:00:00	19.508					
1637	12/06/23	14:00:00	19.508					
1638	12/06/23	15:00:00	19.651					
1639	12/06/23	16:00:00	19.722					
1640	12/06/23	17:00:00	19.413					
1641	12/06/23	18:00:00	19.579					
1642	12/06/23	19:00:00	19.246					
1643	12/06/23	20:00:00	19.722					
1644	12/06/23	21:00:00	19.912					
1645	12/06/23	22:00:00	19.246					
1646	12/06/23	23:00:00	19.294					
1647	13/06/23	00:00:00	19.199					
1648	13/06/23	01:00:00	19.056					
1649	13/06/23	02:00:00	19.103					
1650	13/06/23	03:00:00	19.151					
1651	13/06/23	04:00:00	19.127					
1652	13/06/23	05:00:00	18.913					
1653	13/06/23	06:00:00	18.866					
1654	13/06/23	07:00:00	19.103					
1655	13/06/23	08:00:00	19.222					
1656	13/06/23	09:00:00	19.103					
1657	13/06/23	10:00:00	18.961					
1658	13/06/23	11:00:00	19.080					
1659	13/06/23	12:00:00	19.627					
1660	13/06/23	13:00:00	19.698					
1661	13/06/23	14:00:00	19.936					
1662	13/06/23	15:00:00	19.555					
1663	13/06/23	16:00:00	19.270					
1664	13/06/23	17:00:00	19.627					
1665	13/06/23	18:00:00	19.151					
1666	13/06/23	19:00:00	19.199					
1667	13/06/23	20:00:00	18.818					
1668	13/06/23	21:00:00	19.151					
