"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21151962, SEN S/N: 21151962, LBL: Sagro 05m)"	"Acoplador separado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Acoplador adjunto (LGR S/N: 21151962, SEN S/N: 21151962)"	"Host conectado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Parado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Final de archivo (LGR S/N: 21151962, SEN S/N: 21151962)"
416	19/05/23	20:00:00	17.843					
417	19/05/23	21:00:00	17.891					
418	19/05/23	22:00:00	17.938					
419	19/05/23	23:00:00	17.938					
420	20/05/23	00:00:00	17.938					
421	20/05/23	01:00:00	17.915					
422	20/05/23	02:00:00	17.867					
423	20/05/23	03:00:00	17.843					
424	20/05/23	04:00:00	17.843					
425	20/05/23	05:00:00	17.843					
426	20/05/23	06:00:00	17.748					
427	20/05/23	07:00:00	17.748					
428	20/05/23	08:00:00	17.819					
429	20/05/23	09:00:00	17.796					
430	20/05/23	10:00:00	17.819					
431	20/05/23	11:00:00	17.819					
432	20/05/23	12:00:00	17.819					
433	20/05/23	13:00:00	17.843					
434	20/05/23	14:00:00	17.867					
435	20/05/23	15:00:00	17.819					
436	20/05/23	16:00:00	17.772					
437	20/05/23	17:00:00	17.748					
438	20/05/23	18:00:00	17.724					
439	20/05/23	19:00:00	17.605					
440	20/05/23	20:00:00	17.510					
441	20/05/23	21:00:00	17.486					
442	20/05/23	22:00:00	17.344					
443	20/05/23	23:00:00	17.034					
444	21/05/23	00:00:00	17.391					
445	21/05/23	01:00:00	17.629					
446	21/05/23	02:00:00	17.177					
447	21/05/23	03:00:00	16.915					
448	21/05/23	04:00:00	17.391					
449	21/05/23	05:00:00	17.368					
450	21/05/23	06:00:00	17.653					
451	21/05/23	07:00:00	17.558					
452	21/05/23	08:00:00	17.653					
453	21/05/23	09:00:00	17.701					
454	21/05/23	10:00:00	17.629					
455	21/05/23	11:00:00	17.439					
456	21/05/23	12:00:00	17.724					
457	21/05/23	13:00:00	17.724					
458	21/05/23	14:00:00	17.772					
